id_cliente,nome,cognome,codice_fiscale,data_nascita,regione_residenza,comune_residenza,data_inizio_rapporto
1,Priscilla,Columbo,RCCCML08E48D993X,1949-08-04,Liguria,La Spezia,2019-05-14
2,Bernardo,Barillaro,PCCMBT36T71G406B,2000-11-30,Emilia-Romagna,Parma,2017-08-31
3,Arturo,Dulbecco,RSMGSN25S70I654M,1977-10-20,Sardegna,Oristano,2018-03-27
4,Ugolino,Lucciano,BLTRMN65P23C476I,1974-11-18,Piemonte,Novara,2025-08-16
5,Diana,Donarelli,LVTFLP83A06A896O,1973-07-30,Lombardia,Pavia,2018-08-24
6,Guido,Piazzi,PTRPLG75D57A160J,1990-09-24,Marche,Macerata,2025-12-26
7,Loredana,Bombieri,VNLGRG92P30G254Y,1954-11-01,Liguria,Savona,2024-05-05
8,Maurilio,Napolitano,GMTFLV58L59A051Y,1998-07-21,Abruzzo,Pescara,2025-08-23
9,Giulio,Dulbecco,TGNCRN71B57D156W,1949-08-10,Marche,Ancona,2025-10-10
10,Massimiliano,Caruso,VNVGRG88M71E054U,1966-09-24,Basilicata,Potenza,2015-09-16
11,Annetta,Sordi,MRSMRN87M29G290M,1958-08-03,Emilia-Romagna,Rimini,2024-04-05
12,Sophia,Babato,CRLGLN08L61I489K,1957-05-22,Sicilia,Palermo,2026-08-20
13,Giancarlo,Giacometti,PMTMRA66P41H531W,1960-07-15,Umbria,Terni,2025-04-23
14,Roberta,Iannelli,LNUBTC51S24I848H,2002-09-18,Campania,Caserta,2020-12-05
15,Massimo,Borroni,SMNGRC45D29G159G,1971-09-14,Umbria,Perugia,2021-06-25
16,Graziano,Fagotto,TRNRKE30T08L409Z,1970-10-27,Toscana,Livorno,2017-09-25
17,Giustino,Foconi,FRVFLR79H05I393X,1958-02-21,Liguria,La Spezia,2021-07-07
18,Coriolano,Casarin,SRNRSR00P02L142U,1987-12-25,Sicilia,Messina,2019-10-19
19,Santino,Pagnotto,SRNGGL62C65L894O,1954-10-20,Abruzzo,Pescara,2020-05-14
20,Tullio,Littizzetto,GRGDNG06P66E548R,1953-12-28,Lazio,Roma,2024-04-08
21,Sandro,Veltroni,TDSSBL50S25B862Z,1959-03-04,Lombardia,Pavia,2024-02-16
22,Roman,Casellati,MNNGNL01S47E078Y,1973-10-25,Lazio,Viterbo,2021-05-27
23,Beatrice,Callegaro,PZZGLN23P49C528Q,1948-05-07,Marche,Macerata,2018-12-05
24,Graziano,Serao,STNFRN63L47E505U,1989-06-11,Piemonte,Cuneo,2019-03-07
25,Imelda,Palladio,PCCHGU57C59B413R,1971-10-09,Calabria,Reggio Calabria,2017-05-29
26,Aria,Germano,JLNFMM71L28E091O,1957-01-15,Lazio,Frosinone,2026-04-23
27,Gabriele,COMBI,SRRDRN22L16B445L,2003-03-01,Lombardia,Monza,2020-10-08
28,Vincenza,Traetta,SPNLND32P68G107L,1962-05-01,Friuli-Venezia Giulia,Pordenone,2018-12-08
29,Antonio,Pezzali,DLLNNZ27E16L035P,1952-10-13,Emilia-Romagna,Parma,2023-12-28
30,Elisa,Caffarelli,MNTGLI46H58F990Z,1945-08-12,Friuli-Venezia Giulia,Trieste,2020-11-06
31,Paloma,Gucci,NTNPRR15H68H315S,1996-05-25,Friuli-Venezia Giulia,Pordenone,2015-04-04
32,Clelia,Filangieri,LVTLRA41S17F258C,1972-07-11,Abruzzo,L'Aquila,2018-08-01
33,Matilda,Saffi,PRRRSR36M21M365P,1955-07-15,Abruzzo,L'Aquila,2021-08-13
34,Ennio,Detti,QSMPLG09B46D712S,1999-05-06,Toscana,Siena,2023-05-19
35,Gianluigi,Mazzini,MDRGFR77S53C890O,1967-03-15,Umbria,Perugia,2016-11-01
36,Vanessa,Russo,TRCRBT52C46L205K,1950-07-17,Sicilia,Palermo,2026-05-03
37,Alessio,Cavalcanti,GRMVLR95B07B781F,1955-06-06,Basilicata,Matera,2019-08-10
38,Paride,Camilleri,BCCMRN70A01I306K,1985-09-06,Emilia-Romagna,Bologna,2017-12-16
39,Paride,TREVISANI,CMMGLM79C03H010B,1946-12-15,Toscana,Livorno,2023-11-18
40,Valeria,Pellico,GCCGFR94E55G710F,1975-11-29,Valle d'Aosta,Courmayeur,2016-06-06
41,Dino,Chechi,BCSMND84H28L886H,1947-11-06,Sardegna,Sassari,2021-06-09
42,Manuel,Simeoni,VLTGRN70M45M290L,1982-09-18,Sardegna,Oristano,2023-05-26
43,Ilaria,Vattimo,SRCSRN95S29G061R,1952-03-14,Calabria,Catanzaro,2017-12-25
44,Raffaellino,Trevisan,NPLSNN69D66A932P,1964-12-24,Umbria,Perugia,2015-01-29
45,Rembrandt,Marzorati,PMTGLI19E41A001S,1992-09-21,Molise,Isernia,2023-07-05
46,Valerio,Cianciolo,LDVRGR68A63L965Y,1947-11-22,Veneto,Verona,2024-05-27
47,Silvestro,Sismondi,LMGPCC37R48I588Q,1954-01-20,Veneto,Verona,2015-10-03
48,Adriano,Vespa,FRNPRR71L53C660S,1981-02-02,Veneto,Verona,2024-11-04
49,Ettore,Pellico,GLPGSP10L61C550P,1966-01-04,Valle d'Aosta,Courmayeur,2022-02-25
50,Ugo,Lancisi,TRRGRN52D68A700B,2004-03-25,Veneto,Padova,2019-12-16
51,Fiorenzo,Cianciolo,CPPRLD79M49H527Z,1960-09-17,Marche,Macerata,2024-07-31
52,Donna,Stucchi,MCHLSS19A18A227C,1992-01-20,Lazio,Frosinone,2022-02-24
53,Flavio,Camicione,JCZDNI91M64A085Y,1987-06-26,Trentino-Alto Adige,Merano,2020-05-28
54,Gianpaolo,Bulzoni,NGLMLS27H14D361P,1995-06-16,Puglia,Bari,2024-04-03
55,Michela,Tarantini,SCRMDA42B67I082T,1974-08-19,Veneto,Padova,2016-10-09
56,Ennio,Bertolucci,PRNBNT69M46C056I,1949-08-16,Molise,Campobasso,2021-01-08
57,Virginia,Greggio,NSTDRA98T48E136V,1988-01-04,Valle d'Aosta,Aosta,2019-09-08
58,Marta,Ruberto,BLTMME58T25A981I,1955-07-12,Piemonte,Novara,2025-09-28
59,Umberto,Folliero,PLLLRZ41C61H825U,1994-07-13,Liguria,Genova,2022-03-19
60,Ansaldo,Vianello,GRSMRA81E07D883R,1977-04-07,Liguria,La Spezia,2026-07-02
61,Vanessa,Berlusconi,CRFFMM81L11A158P,1963-03-24,Molise,Isernia,2023-04-25
62,Fabio,Leopardi,PTRFLV01A19I438U,1968-05-25,Molise,Campobasso,2024-05-13
63,Graziella,Siffredi,PGNBRR31C16A955T,1989-10-18,Marche,Ancona,2022-07-28
64,Giuseppina,Morgagni,BNCLRA82C23F764F,1986-05-06,Lazio,Frosinone,2018-10-10
65,Morena,Canevascini,SRFFRN40P26G895O,1993-08-21,Umbria,Perugia,2016-04-26
66,Maria,Napolitano,FRRLSN88L52H792X,1945-07-29,Puglia,Bari,2024-04-01
67,Donato,Gregori,SPLVNS56P10F840N,1990-05-16,Lombardia,Bergamo,2025-03-24
68,IDA,Stoppani,ZTILNE69H11H870Q,2004-02-24,Marche,Pesaro,2025-12-10
69,RUGGERO,Leone,BMPNCT19M10I826V,1993-01-24,Piemonte,Alessandria,2021-06-06
70,Giuseppe,Venditti,SNSCHL99S57E071N,1954-08-08,Puglia,Lecce,2017-02-28
71,Livia,Fantini,RTLRSN30H24A645K,1968-12-25,Veneto,Vicenza,2023-11-26
72,Flora,Vasari,FGNVNC87M65F929M,1971-11-30,Veneto,Padova,2016-10-22
73,Eraldo,LONGHENA,PLTLDC14B57H063R,1978-11-03,Valle d'Aosta,Courmayeur,2025-09-04
74,Baldassare,Battelli,MEOMND25B16C050Z,2002-11-10,Toscana,Siena,2022-06-06
75,Cirillo,Balbi,STPVNN79T59C724C,1965-08-12,Umbria,Perugia,2019-09-28
76,Armando,Ottino,BNDLSN26S16M031H,1970-02-26,Veneto,Verona,2015-09-27
77,Veronica,Bottaro,BGNMCL71T71L593D,1980-09-25,Trentino-Alto Adige,Trento,2016-09-22
78,Pierluigi,Pacillo,NFNNCT05T03I985D,1979-06-09,Basilicata,Matera,2018-02-20
79,Leopoldo,Bosio,TRVBRC12T08F717X,1949-10-26,Molise,Isernia,2017-03-11
80,ORLANDO,Faugno,TRBSTN31R21M282U,1980-08-04,Campania,Caserta,2022-04-27
81,Ferdinando,Zaccagnini,CMCMCL86M63H147E,1994-08-13,Toscana,Livorno,2023-06-03
82,Pompeo,Campanella,SPSPLM51P11H042B,1967-02-10,Valle d'Aosta,Courmayeur,2016-08-25
83,Ermenegildo,UDINESE,NGGLCN70H68E003L,1973-05-30,Lazio,Frosinone,2023-02-02
84,Piergiuseppe,Ricci,GNTGML48P70I003R,1954-03-04,Liguria,La Spezia,2017-12-21
85,Giovanni,Omma,SGSPRD00T42D042P,1947-05-11,Umbria,Perugia,2017-01-04
86,Cassandra,Antelami,MRNDLA38D07L220Q,1946-02-09,Friuli-Venezia Giulia,Udine,2021-07-18
87,Luchino,Argenti,VSCTLL71R70G142M,1996-04-24,Umbria,Perugia,2018-10-21
88,Ermanno,Caccioppoli,SBRLRA19C09D956P,1950-09-05,Veneto,Padova,2018-10-01
89,Veronica,Greco,GRTGLT11R13G118O,1967-02-15,Valle d'Aosta,Courmayeur,2026-02-13
90,Gian,Borzomì,SPRFDL62T63G188F,1974-10-22,Friuli-Venezia Giulia,Udine,2023-07-10
91,Pierina,Caetani,BRSRZO10A70I306S,1971-12-15,Puglia,Lecce,2022-03-11
92,Mario,Natta,PRTDNT98D64G985T,1973-08-19,Trentino-Alto Adige,Bolzano,2021-07-15
93,Sandra,Amato,BRNLBT67A51F808I,1978-09-27,Campania,Salerno,2021-04-15
94,Annunziata,Conte,TBLGNR19A62H860M,1993-12-14,Marche,Macerata,2019-01-13
95,Panfilo,Rusticucci,GRGLSU37L05B425Q,1984-05-03,Toscana,Pisa,2021-07-14
96,Martino,Bramante,BMBPSL33B53F407Z,1957-06-27,Puglia,Foggia,2021-10-16
97,Raffaellino,Ceschi,SLMPTZ25M13G979E,1985-04-16,Puglia,Bari,2025-09-30
98,Antonietta,Ferrazzi,GLGNTT34L11H371U,1993-10-10,Basilicata,Matera,2015-10-29
99,Aria,Bruscantini,PRCLDC46H07D470K,1954-10-24,Umbria,Perugia,2020-07-26
100,Matteo,Armani,DGLMRZ78M60B564L,1974-10-01,Piemonte,Cuneo,2024-08-27
101,Ranieri,Bazzi,FLPTNI47C25H827Z,1984-12-29,Molise,Campobasso,2023-05-23
102,Serena,Briccialdi,BRRFLV79C28I963T,1947-03-16,Toscana,Livorno,2025-10-29
103,Pierina,Lupo,MNRTNO14E15F080E,1976-04-02,Lombardia,Bergamo,2021-12-30
104,Alessio,Montanariello,VNVVEA26P17I076W,1984-04-23,Friuli-Venezia Giulia,Trieste,2025-02-23
105,Giuliano,Vespucci,CPLLDA48R69H120A,2003-02-18,Lombardia,Brescia,2017-06-14
106,Vincentio,Battelli,DNTTNF36D66H481N,1994-07-07,Veneto,Padova,2018-08-04
107,Dolores,Lamborghini,SCRSPH01B13H083F,1961-09-21,Puglia,Lecce,2024-09-10
108,Greco,Omma,NTNGLI83L08E089A,1979-11-20,Emilia-Romagna,Rimini,2015-02-06
109,Torquato,Calbo,SPDVTI11C47F395I,1996-10-18,Puglia,Bari,2017-04-13
110,Roman,Zamengo,BRSFLR67E11F280C,1968-07-15,Trentino-Alto Adige,Trento,2025-12-23
111,Panfilo,Crispi,NDATNI45H21D255A,1955-04-02,Marche,Macerata,2022-10-21
112,Gianpietro,Tasso,BXIGRM49A71F966L,2000-02-17,Abruzzo,L'Aquila,2016-11-25
113,Hugo,Gatto,MRTLSI84C03H843W,1957-09-07,Lombardia,Brescia,2026-06-16
114,Orazio,Treccani,PRLFLP73C14D373D,2002-01-06,Emilia-Romagna,Rimini,2018-11-20
115,Claudia,Moneta,VNZDNL26S45G232J,2000-07-27,Friuli-Venezia Giulia,Udine,2016-03-15
116,Alessandra,Finzi,MSCTZN90P30B453Q,1995-05-20,Trentino-Alto Adige,Bolzano,2026-05-03
117,Puccio,Columbo,MRCNTN71P24B258M,1988-11-04,Abruzzo,L'Aquila,2018-10-02
118,Fiorino,Mercati,BDGGRL52L10E784Y,1965-03-04,Friuli-Venezia Giulia,Udine,2021-06-22
119,Lucrezia,Legnante,FRNBNC16C01I207K,1990-10-30,Campania,Caserta,2017-07-16
120,Daria,Interiano,GNNFRN87A12A811X,1948-09-25,Sardegna,Oristano,2024-11-24
121,Gloria,Sinisi,TBLRMN60T21E023I,1971-09-17,Basilicata,Potenza,2015-09-22
122,Fiorino,Pedersoli,SGLDRD20D48A324L,1966-04-05,Emilia-Romagna,Bologna,2019-09-16
123,Pierangelo,Anguillara,PNTGNR95S47I162V,1959-11-22,Molise,Isernia,2018-02-14
124,Gastone,Boezio,RSMRSR62T11L333U,1970-03-21,Marche,Macerata,2018-10-11
125,Roman,Gradenigo,PRLNSD77T67E087N,1957-03-01,Veneto,Verona,2024-03-25
126,Liana,Mazzeo,VLGVNC82T66A387L,1967-05-27,Lombardia,Bergamo,2018-04-13
127,Umberto,Cantimori,SRCNSD31P58E249B,1957-10-03,Abruzzo,L'Aquila,2021-01-10
128,Lolita,Barracco,TZZRMD24E55E280Y,1981-02-21,Puglia,Bari,2026-07-25
129,Valentina,Marinetti,SCLFBA54E60L933U,1974-05-13,Emilia-Romagna,Rimini,2015-01-21
130,Arnulfo,Traetta,SCRSLO57B24F395T,2004-08-01,Sardegna,Oristano,2023-01-13
131,Costanzo,Errigo,PRSLCU41M01B899Q,1989-05-20,Sardegna,Cagliari,2021-01-08
132,Rodolfo,Finotto,BLZGRG41T61L792W,1975-11-03,Lombardia,Monza,2016-02-01
133,LARA,Dallapé,BRCCRL90M21D909Z,1984-08-04,Piemonte,Novara,2025-03-28
134,Calcedonio,Trevisan,TRNRMS48P53A444C,2003-04-26,Abruzzo,Pescara,2021-10-08
135,Marissa,Donatoni,ZNINZE20C46I287G,1952-05-24,Lazio,Viterbo,2023-05-05
136,Lara,BERGOGLIO,MRZLDC93M50G707K,1983-07-06,Lazio,Latina,2017-01-17
137,FILIPPO,Casadei,FRVDLS79E01E947Q,1991-08-09,Lombardia,Bergamo,2024-12-24
138,Stefano,Tarantino,TCCFMM27R22F125Z,1956-11-10,Sardegna,Sassari,2025-09-18
139,Rodolfo,Platini,BTTDRN31P49G635A,1977-12-23,Valle d'Aosta,Courmayeur,2021-09-17
140,Eliana,Volterra,BMBLNE18A21D769B,1951-02-20,Lombardia,Bergamo,2015-03-11
141,Amleto,Columbo,MNCMLD11A04E483Q,1958-08-01,Trentino-Alto Adige,Merano,2024-03-26
142,Ferdinando,Cusano,ZNZFDG58T59D881M,1956-01-19,Calabria,Reggio Calabria,2023-08-12
143,Amleto,Caboto,MNTNNN48B65E596M,1967-04-07,Veneto,Verona,2021-05-23
144,Rosaria,Vigliotti,MGLMRT17B23L258T,1963-06-08,Lazio,Viterbo,2026-08-12
145,Guglielmo,Moneta,TRZGCB89D60A586O,1989-05-26,Lazio,Latina,2023-08-28
146,Corrado,Trupiano,SRDVRN88R30I484V,1977-05-25,Umbria,Perugia,2022-02-05
147,Isa,Luna,MRCGLN67R60D817K,1960-07-02,Liguria,Savona,2025-07-25
148,Domenico,Zanichelli,TRVSTN63C69G524K,1964-05-10,Valle d'Aosta,Courmayeur,2015-11-23
149,Gianpaolo,Maccanelli,BBGCRN03M21I585B,1989-12-14,Friuli-Venezia Giulia,Pordenone,2024-04-26
150,Danilo,Fogazzaro,PRCNTN42H58I679M,1969-11-23,Umbria,Perugia,2016-11-15
151,Etta,Franzese,FNTTZN36E26A694L,1980-01-21,Puglia,Taranto,2016-06-25
152,Livio,Mantegazza,LBRDMN87H51E253M,1952-09-26,Veneto,Padova,2024-09-29
153,LIDIA,Badoer,,1960-10-04,Abruzzo,Chieti,2017-09-05
154,Salvatore,Barberini,SMMDRA80M29L317T,1991-12-03,Toscana,Livorno,2026-08-08
155,Adelasia,Monti,PRCRSN66E59H796P,1955-08-05,Lombardia,Brescia,2015-08-29
156,Giovanna,Mennea,FLLPRC87H26L898P,1989-07-06,Veneto,Verona,2025-03-17
157,Vanessa,Nitto,CNTGNN03H13G710V,1967-11-21,Trentino-Alto Adige,Trento,2017-04-22
158,Vittorio,Delle,FRNDNL96E63L243E,1948-12-14,Molise,Campobasso,2015-04-11
159,Luchino,Bajardi,PRCCLR63D52E877A,1994-08-08,Lombardia,Milano,2024-05-28
160,Renata,Marazzi,TRLGSP22B12I453G,1996-04-11,Friuli-Venezia Giulia,Trieste,2023-05-13
161,Angelo,Finotto,RFFMLN03M29F390S,1949-02-13,Trentino-Alto Adige,Merano,2023-12-29
162,ERALDO,Favata,SRDVNC39H45I290W,1952-10-01,Basilicata,Matera,2025-03-30
163,Sylvia,Caironi,FLRVRN04M13H677V,1966-10-06,Friuli-Venezia Giulia,Pordenone,2025-05-28
164,Stefani,Trentini,GNSGRL05S28G371U,1994-01-13,Campania,Caserta,2020-07-01
165,Sylvia,Broschi,SCHNTN13P65H068Z,1975-01-21,Umbria,Perugia,2015-01-12
166,Lucrezia,Mazzanti,MZZSLV26H07C059B,1992-07-13,Friuli-Venezia Giulia,Trieste,2020-05-05
167,Ivan,Lercari,RSSDNL34C46C920D,1953-05-07,Lombardia,Brescia,2015-12-26
168,Damiano,Anguissola,FCNLGO44P11C886G,1986-02-17,Abruzzo,L'Aquila,2016-11-26
169,Elmo,Lopresti,DNNNTT39R29D667S,1995-12-11,Liguria,Savona,2016-05-25
170,Adriana,Ruffini,CSRMLA60S02B112I,1980-04-03,Veneto,Vicenza,2022-04-26
171,Oreste,Bernini,RGGLSI22T20L601G,1954-10-11,Trentino-Alto Adige,Merano,2018-06-27
172,Carla,Sabatini,MZZMRN25T65H214I,1963-08-18,Lombardia,Brescia,2025-02-19
173,Paloma,Ubaldi,SCRPRN16B27I640H,1999-02-16,Lombardia,Brescia,2015-11-27
174,Ilaria,Scotti,SNDGRL87S23I260U,1980-07-20,Molise,Isernia,2026-07-08
175,Rosario,Segrè,GRRCLL78E30D913X,1985-07-27,Trentino-Alto Adige,Bolzano,2020-08-08
176,Ottone,Falcone,MDNRDF62A43F119W,1964-12-10,Lombardia,Milano,2017-12-06
177,Costanzo,Nicolucci,SCLFST36H60G168S,1997-03-30,Sicilia,Palermo,2020-10-21
178,Dionigi,Tomasetti,PSCVCR13H18G951L,1984-10-13,Trentino-Alto Adige,Merano,2017-11-21
179,Benedetto,Marangoni,PCCPRS30R48F893Z,1949-07-18,Lombardia,Monza,2018-10-08
180,Ermes,Sonnino,BZOMSM26T59E644Z,1983-04-12,Toscana,Siena,2018-11-16
181,Mercedes,Rocca,VRDGNT22S62A792K,1948-02-10,Emilia-Romagna,Modena,2020-07-06
182,Loretta,Spinelli,SCRLRI71B27E806U,1970-02-06,Toscana,Firenze,2023-08-04
183,Federigo,Marzorati,BNNCRD87R65I830A,1979-04-26,Umbria,Perugia,2023-01-20
184,Nino,Monaco,BNGCRL27C69G229X,1979-11-05,Marche,Pesaro,2021-01-24
185,Margherita,Abatantuono,CNTMRA68E13G597H,1950-04-04,Calabria,Catanzaro,2025-07-31
186,Aurora,Saffi,FOXTRS40E19I558A,1967-03-28,Sardegna,Cagliari,2020-05-29
187,Giovanna,Marinetti,MRLCML74A60F499N,1996-08-25,Valle d'Aosta,Aosta,2023-09-17
188,Patrizio,CERAVOLO,BLSNPN70A41H556K,1973-07-13,Trentino-Alto Adige,Merano,2023-01-18
189,Annalisa,Oliboni,LMBMLA30L23G323W,1995-07-09,Sicilia,Catania,2019-03-23
190,Panfilo,Merisi,PSNRZO55P47H107F,1988-12-31,Umbria,Perugia,2015-11-07
191,Fedele,Sibilia,FRNPLT49H27E485U,1974-10-06,Umbria,Perugia,2019-07-09
192,Eraldo,Luria,CHNDRN09S01B543Z,1950-05-06,Puglia,Taranto,2015-06-29
193,Licia,Spinelli,CMPCLD17S66E472Q,1951-07-05,Valle d'Aosta,Courmayeur,2023-05-19
194,Sonia,Sanudo,RRGRDF65L58I832W,1957-03-30,Friuli-Venezia Giulia,Udine,2018-07-14
